Year,Global Annual CO2 Emissions (billion t)
1920,3.537837152
1921,3.106184011
1922,3.254462702
1923,3.69069777
1924,3.702776946
1925,3.740633624
1926,3.67740753
1927,4.012947494
1928,3.996311834
1929,4.288211496
1930,3.958095956
1931,3.539320266
1932,3.192591562
1933,3.362683372
1934,3.65618726
1935,3.835742448
1936,4.207930724
1937,4.496715388
1938,4.229619304
1939,4.470134718
1940,4.884663568
1941,4.999092944
1942,4.982523858
1943,5.075273346
1944,5.162486686
1945,4.289312756
1946,4.60854688
1947,5.165205468
1948,5.447884826
1949,5.20403532
1950,5.801849712
1951,6.228251516
1952,6.311304566
1953,6.48878288
1954,6.626836612
1955,7.25680474
1956,7.7247894
1957,7.96196126
1958,8.209281366
1959,8.64132001
1960,9.148837684
1961,9.151725856
1962,9.47426371
1963,9.98095128
1964,10.51134026
1965,10.98710231
1966,11.51259003
1967,11.86282562
1968,12.50906222
1969,13.34700027
1970,14.4618659
1971,15.04211541
1972,15.73221701
1973,16.55838026
1974,16.52181486
1975,16.60492413
1976,17.54999852
1977,18.04933116
1978,18.61325612
1979,19.15131794
1980,19.04187502
1981,18.61058364
1982,18.49783081
1983,18.63351842
1984,19.28811052
1985,19.9444996
1986,20.22130162
1987,20.7226203
1988,21.53965145
1989,21.8214693
1990,22.17744336
1991,22.63964044
1992,21.97067645
1993,22.19471643
1994,22.40465583
1995,22.91132186
1996,23.5860137
1997,23.69486743
1998,23.55376117
1999,24.07648718
2000,24.72283721
2001,24.92475354
2002,25.47597834
2003,26.8362236
2004,27.72536034
2005,28.67153025
2006,29.63432985
2007,30.48323034
2008,31.01259977
2009,30.51895562
2010,32.2745927
2011,33.39514298
2012,33.90215508
2013,34.18755904
2014,34.33027983
2015,34.2479328
2016,34.24384976
2017,34.77999156
2018,35.4833339
2019,35.85349896
2020,34.27268544
2021,36.09811577
2022,36.2737542
2023,36.67499756
